#kz, 3 eigenvalues(m=0), 3 eigenvalues(m=1), 3 eigenvalues(m=-1)
-1.72788, 0.466396, 1.81771, 2.69084, 0.606661, 1.33898, 2.80832, 0.6228, 1.40039, 2.61558
-1.69646, 0.458542, 1.82611, 2.68745, 0.597616, 1.34124, 2.80749, 0.612434, 1.40413, 2.61686
-1.66504, 0.45065, 1.83446, 2.68404, 0.588421, 1.34359, 2.80661, 0.602009, 1.40779, 2.61816
-1.63363, 0.442719, 1.84277, 2.68059, 0.579084, 1.34601, 2.8057, 0.591529, 1.41135, 2.6195
-1.60221, 0.434753, 1.85103, 2.67711, 0.569611, 1.3485, 2.80475, 0.580994, 1.41484, 2.62086
-1.5708, 0.426751, 1.85924, 2.67361, 0.560009, 1.35105, 2.80376, 0.570407, 1.41823, 2.62225
-1.53938, 0.418714, 1.86739, 2.67008, 0.550284, 1.35366, 2.80273, 0.559768, 1.42154, 2.62367
-1.50796, 0.410645, 1.87548, 2.66652, 0.540442, 1.35631, 2.80166, 0.54908, 1.42476, 2.62511
-1.47655, 0.402543, 1.88352, 2.66294, 0.530489, 1.35901, 2.80056, 0.538344, 1.42788, 2.62658
-1.44513, 0.394411, 1.8915, 2.65934, 0.520429, 1.36175, 2.79941, 0.527562, 1.43092, 2.62808
-1.41372, 0.386248, 1.89941, 2.65571, 0.510268, 1.36453, 2.79824, 0.516734, 1.43386, 2.62961
-1.3823, 0.378056, 1.90725, 2.65207, 0.500012, 1.36733, 2.79702, 0.505862, 1.43672, 2.63116
-1.35088, 0.369835, 1.91503, 2.64841, 0.489664, 1.37016, 2.79577, 0.494948, 1.43947, 2.63273
-1.31947, 0.361587, 1.92274, 2.64474, 0.479229, 1.373, 2.79449, 0.483992, 1.44214, 2.63433
-1.28805, 0.353313, 1.93037, 2.64106, 0.468711, 1.37586, 2.79317, 0.472995, 1.44471, 2.63596
-1.25664, 0.345012, 1.93792, 2.63736, 0.458114, 1.37873, 2.79182, 0.46196, 1.44719, 2.63761
-1.22522, 0.336687, 1.94539, 2.63366, 0.447442, 1.38161, 2.79043, 0.450887, 1.44957, 2.63929
-1.19381, 0.328338, 1.95277, 2.62996, 0.436699, 1.38449, 2.78901, 0.439777, 1.45185, 2.64099
-1.16239, 0.319966, 1.96007, 2.62625, 0.425889, 1.38737, 2.78756, 0.428632, 1.45404, 2.64271
-1.13097, 0.311571, 1.96728, 2.62254, 0.415013, 1.39024, 2.78608, 0.417452, 1.45614, 2.64446
-1.09956, 0.303154, 1.9744, 2.61884, 0.404077, 1.39311, 2.78456, 0.406238, 1.45814, 2.64623
-1.06814, 0.294717, 1.98141, 2.61514, 0.393082, 1.39596, 2.78302, 0.394992, 1.46004, 2.64802
-1.03673, 0.286259, 1.98832, 2.61146, 0.382032, 1.39881, 2.78145, 0.383714, 1.46185, 2.64983
-1.00531, 0.277781, 1.99513, 2.60779, 0.37093, 1.40163, 2.77985, 0.372406, 1.46356, 2.65167
